"name","business_hours"
"Kushi Tsuru","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11:30 am - 9 pm"
"Osakaya Restaurant","Mon, Tue, Wed, Thu | 11:30 am - 9 pm  / Fri, Sat | 11:30 am - 9:30 pm"
"The Stinking Rose","Mon, Tue, Wed, Thu, Sun | 11:30 am - 10 pm  / Fri, Sat | 11:30 am - 11 pm"
"McCormick & Kuleto's","Mon, Tue, Wed, Thu, Sun | 11:30 am - 10 pm  / Fri, Sat | 11:30 am - 11 pm"
"Mifune Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 9 am - 2 pm"
"The Cheesecake Factory","Mon, Tue, Wed, Thu | 11 am - 11 pm  / Fri , Sat | 11 am - 12:30 am  / Sun | 10 am - 11 pm"
"New Delhi Indian Restaurant","Mon, Tue, Wed, Thu, Fri, Sat | 11:30 am - 10 pm  / Sun | 5:30 pm - 10 pm"
"Iroha Restaurant","Mon, Tue, Wed, Thu, Sun | 11:30 am - 9:30 pm  / Fri, Sat | 11:30 am - 10:30 pm"
"Rose Pistola","Mon, Tue, Wed, Thu | 11:30 am - 10 pm  / Fri, Sat, Sun | 11:30 am - 11 pm"
"Alioto's Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 9 am - 2:30 pm"
"Canton Seafood & Dim Sum Restaurant","Mon, Tue, Wed, Thu, Fri | 10:30 am - 9:30 pm  / Sat, Sun | 10 am - 9:30 pm"
"All Season Restaurant","Mon, Tue, Wed, Thu, Fri | 10 am - 9:30 pm  / Sat, Sun | 9:30 am - 9:30 pm"
"Bombay Indian Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11:30 am - 10:30 pm"
"Sam's Grill & Seafood Restaurant","Mon, Tue, Wed, Thu, Fri | 11 am - 9 pm  / Sat | 5 pm - 9 pm"
"2G Japanese Brasserie","Mon, Tue, Wed, Thu, Sun | 11 am - 10 pm  / Fri, Sat | 11 am - 11 pm"
"Restaurant Lulu","Mon, Tue, Wed, Thu,  Sun | 11:30 am - 9 pm  / Fri, Sat | 11:30 am - 10 pm"
"Sudachi","Mon, Tue, Wed | 5 pm - 12:30 am  / Thu, Fri | 5 pm - 1:30 am  / Sat | 3 pm - 1:30 am  / Sun | 3 pm - 11:30 pm"
"Hanuri","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 12 am"
"Herbivore","Mon, Tue, Wed, Thu, Sun | 9 am - 10 pm  / Fri, Sat | 9 am - 11 pm"
"Penang Garden","Mon, Tue, Wed, Thu | 11 am - 10 pm  / Fri, Sat | 10 am - 10:30 pm  / Sun | 11 am - 11 pm"
"John's Grill","Mon, Tue, Wed, Thu, Fri, Sat | 11 am - 10 pm  / Sun | 12 pm - 10 pm"
"Quan Bac","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 9 am - 3:30 pm"
"Bamboo Restaurant","Mon, Tue, Wed, Thu, Fri, Sat | 11 am - 12 am  / Sun | 12 pm - 12 am"
"Burger Bar","Mon, Tue, Wed, Thu, Fri, Sun | 11 am - 10 pm  / Fri, Sat | 11 am - 12 am"
"Blu Restaurant","Mon, Tue, Wed, Thu, Fri | 11:30 am - 10 pm  / Sat, Sun | 7 am - 3 pm"
"Naan 'N' Curry","Mon, Tue, Wed, Thu, Fri, Sun | 11 am - 4 am"
"Shanghai China Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 12:30 pm"
"Tres","Mon, Tue, Wed, Thu, Sun | 11:30 am - 10 pm  / Fri, Sat | 11:30 am - 11 pm"
"Isobune Sushi","Mon, Tue, Wed, Thu, Fri, Sat Sun | 11:30 am - 9:30 pm"
"Viva Pizza Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 12 am"
"Far East Cafe","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11:30 am - 10 pm"
"Parallel 37","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11:30 am - 10 pm"
"Bai Thong Thai Cuisine","Mon, Tue, Wed, Thu, Fri, Sat | 11 am - 11 pm  / Sun | 11 am - 10 pm"
"Alhamra","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 3:30 pm"
"A-1 Cafe Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 10 pm"
"Nick's Lighthouse","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 10:30 pm"
"Paragon Restaurant & Bar","Mon, Tue, Wed, Thu, Fri | 11:30 am - 10 pm  / Sat | 5:30 pm - 10 pm"
"Chili Lemon Garlic","Mon, Tue, Wed, Thu, Fri | 11 am - 10 pm  / Sat, Sun | 5 pm - 10 pm"
"Bow Hon Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 10:30 pm"
"San Dong House","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 11 pm"
"Thai Stick Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 11 am - 1 am"
"Cesario's","Mon, Tue, Wed, Thu, Sun | 11:30 am - 10 pm  / Fri, Sat | 11:30 am - 10:30 pm"
"Colombini Italian Cafe Bistro","Mon, Tue, Wed, Thu, Fri | 12 pm - 10 pm  / Sat, Sun | 5 pm - 10 pm"
"Sabella & La Torre","Mon, Tue, Wed, Thu, Sun | 10 am - 10:30 pm  / Fri, Sat | 10 am - 12:30 am"
"Soluna Cafe and Lounge","Mon, Tue, Wed, Thu, Fri | 11:30 am - 10 pm  / Sat | 5 pm - 10 pm"
"Tong Palace","Mon, Tue, Wed, Thu, Fri | 9 am - 9:30 pm  / Sat, Sun | 9 am - 10 pm"
"India Garden Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 10 am - 11 pm"
"Sapporo-Ya Japanese Restaurant","Mon, Tue, Wed, Thu, Fri, Sat | 11 am - 11 pm  / Sun | 11 am - 10:30 pm"
"Santorini's Mediterranean Cuisine","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 8 am - 10:30 pm"
"Kyoto Sushi","Mon, Tue, Wed, Thu | 11 am - 10:30 pm  / Fri | 11 am - 11 pm  / Sat | 11:30 am - 11 pm  / Sun | 4:30 pm - 10:30 pm"
"Marrakech Moroccan Restaurant","Mon, Tue, Wed, Thu, Fri, Sat, Sun | 5:30 pm - 2 am"
